OID_,FID_1,Longitude,Latitude
95,95.000000000000000,100.063346096000004,36.421391739000001
96,96.000000000000000,100.063346096000004,36.521391739000002
97,97.000000000000000,100.063346096000004,36.621391739000003
98,98.000000000000000,100.063346096000004,36.721391738999998
99,99.000000000000000,100.063346096000004,36.821391738999999
100,100.000000000000000,100.063346096000004,36.921391739000001
101,101.000000000000000,100.063346096000004,37.021391739000002
102,102.000000000000000,100.063346096000004,37.121391739000003
103,103.000000000000000,100.063346096000004,37.221391738999998
104,104.000000000000000,100.063346096000004,37.321391738999999
105,105.000000000000000,100.063346096000004,37.421391739000001
106,106.000000000000000,100.063346096000004,37.521391739000002
107,107.000000000000000,100.063346096000004,37.621391739000003
108,108.000000000000000,100.063346096000004,37.721391738999998
109,109.000000000000000,100.063346096000004,37.821391738999999
110,110.000000000000000,100.063346096000004,37.921391739000001
111,111.000000000000000,100.063346096000004,38.021391739000002
112,112.000000000000000,100.063346096000004,38.121391739000003
113,113.000000000000000,100.063346096000004,38.221391738999998
114,114.000000000000000,100.063346096000004,38.321391738999999
115,115.000000000000000,100.063346096000004,38.421391739000001
116,116.000000000000000,100.063346096000004,38.521391739000002
117,117.000000000000000,100.063346096000004,38.621391739000003
118,118.000000000000000,100.063346096000004,38.721391738999998
212,212.000000000000000,100.163346095999998,36.321391738999999
213,213.000000000000000,100.163346095999998,36.421391739000001
214,214.000000000000000,100.163346095999998,36.521391739000002
215,215.000000000000000,100.163346095999998,36.621391739000003
216,216.000000000000000,100.163346095999998,36.721391738999998
217,217.000000000000000,100.163346095999998,36.821391738999999
218,218.000000000000000,100.163346095999998,36.921391739000001
219,219.000000000000000,100.163346095999998,37.021391739000002
220,220.000000000000000,100.163346095999998,37.121391739000003
221,221.000000000000000,100.163346095999998,37.221391738999998
222,222.000000000000000,100.163346095999998,37.321391738999999
223,223.000000000000000,100.163346095999998,37.421391739000001
224,224.000000000000000,100.163346095999998,37.521391739000002
225,225.000000000000000,100.163346095999998,37.621391739000003
226,226.000000000000000,100.163346095999998,37.721391738999998
227,227.000000000000000,100.163346095999998,37.821391738999999
228,228.000000000000000,100.163346095999998,37.921391739000001
229,229.000000000000000,100.163346095999998,38.021391739000002
230,230.000000000000000,100.163346095999998,38.121391739000003
231,231.000000000000000,100.163346095999998,38.221391738999998
232,232.000000000000000,100.163346095999998,38.321391738999999
233,233.000000000000000,100.163346095999998,38.421391739000001
234,234.000000000000000,100.163346095999998,38.521391739000002
235,235.000000000000000,100.163346095999998,38.621391739000003
328,328.000000000000000,100.263346096000006,36.321391738999999
329,329.000000000000000,100.263346096000006,36.421391739000001
330,330.000000000000000,100.263346096000006,36.521391739000002
331,331.000000000000000,100.263346096000006,36.621391739000003
332,332.000000000000000,100.263346096000006,36.721391738999998
333,333.000000000000000,100.263346096000006,36.821391738999999
334,334.000000000000000,100.263346096000006,36.921391739000001
335,335.000000000000000,100.263346096000006,37.021391739000002
336,336.000000000000000,100.263346096000006,37.121391739000003
337,337.000000000000000,100.263346096000006,37.221391738999998
338,338.000000000000000,100.263346096000006,37.321391738999999
339,339.000000000000000,100.263346096000006,37.421391739000001
340,340.000000000000000,100.263346096000006,37.521391739000002
341,341.000000000000000,100.263346096000006,37.621391739000003
342,342.000000000000000,100.263346096000006,37.721391738999998
343,343.000000000000000,100.263346096000006,37.821391738999999
344,344.000000000000000,100.263346096000006,37.921391739000001
345,345.000000000000000,100.263346096000006,38.021391739000002
346,346.000000000000000,100.263346096000006,38.121391739000003
347,347.000000000000000,100.263346096000006,38.221391738999998
348,348.000000000000000,100.263346096000006,38.321391738999999
349,349.000000000000000,100.263346096000006,38.421391739000001
350,350.000000000000000,100.263346096000006,38.521391739000002
440,440.000000000000000,100.363346096000001,36.321391738999999
441,441.000000000000000,100.363346096000001,36.421391739000001
442,442.000000000000000,100.363346096000001,36.521391739000002
443,443.000000000000000,100.363346096000001,36.621391739000003
444,444.000000000000000,100.363346096000001,36.721391738999998
445,445.000000000000000,100.363346096000001,36.821391738999999
446,446.000000000000000,100.363346096000001,36.921391739000001
447,447.000000000000000,100.363346096000001,37.021391739000002
448,448.000000000000000,100.363346096000001,37.121391739000003
449,449.000000000000000,100.363346096000001,37.221391738999998
450,450.000000000000000,100.363346096000001,37.321391738999999
451,451.000000000000000,100.363346096000001,37.421391739000001
452,452.000000000000000,100.363346096000001,37.521391739000002
453,453.000000000000000,100.363346096000001,37.621391739000003
454,454.000000000000000,100.363346096000001,37.721391738999998
455,455.000000000000000,100.363346096000001,37.821391738999999
456,456.000000000000000,100.363346096000001,37.921391739000001
457,457.000000000000000,100.363346096000001,38.021391739000002
458,458.000000000000000,100.363346096000001,38.121391739000003
459,459.000000000000000,100.363346096000001,38.221391738999998
460,460.000000000000000,100.363346096000001,38.321391738999999
461,461.000000000000000,100.363346096000001,38.421391739000001
462,462.000000000000000,100.363346096000001,38.521391739000002
552,552.000000000000000,100.463346095999995,36.321391738999999
553,553.000000000000000,100.463346095999995,36.421391739000001
554,554.000000000000000,100.463346095999995,36.521391739000002
555,555.000000000000000,100.463346095999995,36.621391739000003
556,556.000000000000000,100.463346095999995,36.721391738999998
557,557.000000000000000,100.463346095999995,36.821391738999999
558,558.000000000000000,100.463346095999995,36.921391739000001
559,559.000000000000000,100.463346095999995,37.021391739000002
560,560.000000000000000,100.463346095999995,37.121391739000003
561,561.000000000000000,100.463346095999995,37.221391738999998
562,562.000000000000000,100.463346095999995,37.321391738999999
563,563.000000000000000,100.463346095999995,37.421391739000001
